Darren Collison\collida01,IND,10000000,16.6
Bojan Bogdanovic\bogdabo02,IND,10500000,15.8
Tyreke Evans\evansty01,IND,12400000,11.8
Thaddeus Young\youngth01,IND,13764045,16.8
Victor Oladipo\oladivi01,IND,21000000,17.7
Tyrone Wallace\wallaty01,LAC,1349383,7.6
Sindarius Thornwell\thornsi01,LAC,1378242,4
Jerome Robinson\robinje01,LAC,3046200,6.6
Shai Gilgeous-Alexander\gilgesh01,LAC,3375360,12.1
Luc Mbah a Moute\mbahalu01,LAC,4320500,6.8
Patrick Beverley\beverpa01,LAC,5027028,11.3
Montrezl Harrell\harremo01,LAC,6000000,23.6
Milos Teodosic\teodomi01,LAC,6300000,6.6
Lou Williams\willilo02,LAC,8000000,21.2
Marcin Gortat\gortama01,LAC,13565218,12.9
Danilo Gallinari\gallida01,LAC,21587579,19.7
Isaac Bonga\bongais01,LAL,1000000,9.4
Josh Hart\hartjo01,LAL,1655160,9.5
Kyle Kuzma\kuzmaky01,LAL,1689840,14.8
Moritz Wagner\wagnemo01,LAL,1762080,12.6
JaVale McGee\mcgeeja01,LAL,2393887,21
Lance Stephenson\stephla01,LAL,4449000,12.6
Brandon Ingram\ingrabr01,LAL,5757120,13.5
Lonzo Ball\balllo01,LAL,7461960,11.8
Rajon Rondo\rondora01,LAL,9000000,11.7
Kentavious Caldwell-Pope\caldwke01,LAL,12000000,12
LeBron James\jamesle01,LAL,35654150,25.7
Michael Beasley\beaslmi01,LAL,3500000,16
Joakim Noah\noahjo01,MEM,18530000,18.7
Bruno Caboclo\cabocbr01,MEM,180158,10.2
Bruno Caboclo\cabocbr01,MEM,487000,10.2
Jevon Carter\carteje01,MEM,838464,4.7
Dillon Brooks\brookdi01,MEM,1378242,7.7
Ivan Rabb\rabbiv01,MEM,1378242,19
Joakim Noah\noahjo01,MEM,1731173,18.7
Omri Casspi\casspom01,MEM,2176260,15.9
Jaren Jackson\jacksja02,MEM,5915040,16.5
Kyle Anderson\anderky01,MEM,8641000,12.9
Chandler Parsons\parsoch01,MEM,24107258,3.4
Mike Conley\conlemi01,MEM,30521116,20.3
MarShon Brooks\brookma01,MEM,1656092,11.7
Derrick Jones\jonesde02,MIA,1512601,15.9
Rodney McGruder\mcgruro01,MIA,1544951,9.6
Dwyane Wade\wadedw01,MIA,2393887,15.3
Udonis Haslem\hasleud01,MIA,2393887,-3.5
Bam Adebayo\adebaba01,MIA,2955840,17
Justise Winslow\winslju01,MIA,3448926,12.7
Josh Richardson\richajo01,MIA,9367200,14.4
Dion Waiters\waitedi01,MIA,11550000,10.5
Kelly Olynyk\olynyke01,MIA,12137527,15.2
James Johnson\johnsja01,MIA,14651700,10.9
Goran Dragic\dragigo01,MIA,18109175,14.5
Hassan Whiteside\whiteha01,MIA,25434263,22.5
Sterling Brown\brownst02,MIL,1378242,10.3
Christian Wood\woodch01,MIL,1512601,17.2
Malcolm Brogdon\brogdma01,MIL,1544951,18.3
Pat Connaughton\connapa01,MIL,1641000,12.9
Donte DiVincenzo\divindo01,MIL,2481000,8.5
D.J. Wilson\wilsodj01,MIL,2534280,9.7
Brook Lopez\lopezbr01,MIL,3382000,14.2
Ersan Ilyasova\ilyaser01,MIL,7000000,12.4
Tony Snell\snellto01,MIL,10607143,10.8
Khris Middleton\middlkh01,MIL,13000000,15.9
Eric Bledsoe\bledser01,MIL,15000000,19.4
Giannis Antetokounmpo\antetgi01,MIL,24157304,30.3
John Henson\hensojo01,MIL,11327466,17.3
Cameron Reynolds\reynoca01,MIN,93164,38.7
Keita Bates-Diop\bateske01,MIN,838464,9.2
Josh Okogie\okogijo01,MIN,2160720,8.6
Derrick Rose\rosede01,MIN,2176260,19.5
Luol Deng\denglu01,MIN,2393887,14.7
Tyus Jones\jonesty01,MIN,2444053,12.8
Anthony Tolliver\tollian01,MIN,5750000,9.1
Karl-Anthony Towns\townska01,MIN,7839435,26.3
Jerryd Bayless\bayleje01,MIN,8575916,7.4
Taj Gibson\gibsota01,MIN,14000000,17.4
Gorgui Dieng\dienggo01,MIN,15170787,16.8
Jeff Teague\teaguje01,MIN,19000000,15.3
Andrew Wiggins\wiggian01,MIN,25467250,11.8
Luol Deng\denglu01,MIN,14354067,14.7
Kenrich Williams\willike04,NOP,838464,9.3
Frank Jackson\jacksfr01,NOP,1378242,8.7
Cheick Diallo\diallch01,NOP,1544951,19
Jahlil Okafor\okafoja01,NOP,1567007,18.8
Tim Frazier\fraziti01,NOP,1621415,11.7
Ian Clark\clarkia01,NOP,1757429,6.9
Darius Miller\milleda01,NOP,2205000,8.4
Elfrid Payton\paytoel01,NOP,3000000,12.7
Julius Randle\randlju01,NOP,8641000,21.4
